product_id,title,category,price,discount_pct,final_price,rating,num_reviews,availability,seller,scraped_date,product_url
WSP0051,Eco Bluetooth Headphones,Electronics,1315.53,20,1052.42,4.5,124,Out of Stock,QuickMart,2024-10-10,https://example-shop.com/product/WSP0051
WSP0052,Pro Deluxe Headphones,Home,322.19,25,241.64,4.2,127,Limited Stock,QuickMart,2024-09-28,https://example-shop.com/product/WSP0052
WSP0053,Smart Portable Speaker,Automotive,786.43,15,668.47,2.8,50,Out of Stock,QuickMart,2025-03-31,https://example-shop.com/product/WSP0053
WSP0054,Pro Wireless Lamp,Automotive,968.28,30,677.8,3.5,40,In Stock,TopSeller,2024-09-12,https://example-shop.com/product/WSP0054
WSP0055,Smart Bluetooth Watch,Home,958.17,25,718.63,3.4,111,Out of Stock,DealsHub,2025-07-10,https://example-shop.com/product/WSP0055
WSP0056,Eco Deluxe Mixer,Electronics,1842.68,5,1750.55,5.0,129,Out of Stock,OfficialStore,2025-03-01,https://example-shop.com/product/WSP0056
WSP0057,Classic Deluxe Charger,Home,67.87,15,57.69,3.3,113,Out of Stock,DealsHub,2024-12-10,https://example-shop.com/product/WSP0057
WSP0058,Ultra Compact Lamp,Sports,166.56,10,149.9,4.0,51,Limited Stock,TopSeller,2024-09-13,https://example-shop.com/product/WSP0058
WSP0059,Ultra Deluxe Backpack,Home,1076.19,20,860.95,4.2,118,Out of Stock,ShopPlus,2024-12-04,https://example-shop.com/product/WSP0059
WSP0060,Eco Bluetooth Watch,Toys,325.2,20,260.16,4.4,33,In Stock,DealsHub,2024-11-17,https://example-shop.com/product/WSP0060
WSP0061,Pro Bluetooth Mixer,Toys,728.83,5,692.39,3.3,46,In Stock,QuickMart,2025-08-12,https://example-shop.com/product/WSP0061
WSP0062,Premium Portable Backpack,Home,939.34,5,892.37,3.5,109,Out of Stock,OfficialStore,2025-07-14,https://example-shop.com/product/WSP0062
WSP0063,Smart Bluetooth Charger,Fashion,604.92,5,574.67,4.4,43,Out of Stock,ShopPlus,2025-01-10,https://example-shop.com/product/WSP0063
WSP0064,Classic Bluetooth Speaker,Home,1272.05,5,1208.45,4.7,124,Limited Stock,OfficialStore,2024-08-22,https://example-shop.com/product/WSP0064
WSP0065,Classic Deluxe Mixer,Sports,778.76,25,584.07,3.5,49,In Stock,DealsHub,2025-02-04,https://example-shop.com/product/WSP0065
WSP0066,Pro Wireless Mixer,Electronics,1700.33,0,1700.33,3.5,111,Limited Stock,DealsHub,2024-10-13,https://example-shop.com/product/WSP0066
WSP0067,Classic Wireless Headphones,Automotive,886.67,5,842.34,3.6,50,Out of Stock,OfficialStore,2025-04-10,https://example-shop.com/product/WSP0067
WSP0068,Premium Compact Lamp,Electronics,1083.92,5,1029.72,5.0,118,Out of Stock,TopSeller,2024-12-16,https://example-shop.com/product/WSP0068
WSP0069,Classic Compact Mixer,Sports,948.08,15,805.87,4.2,35,Out of Stock,DealsHub,2025-02-22,https://example-shop.com/product/WSP0069
WSP0070,Pro Wireless Charger,Beauty,964.22,5,916.01,3.7,42,In Stock,OfficialStore,2024-09-19,https://example-shop.com/product/WSP0070
WSP0071,Eco Bluetooth Backpack,Electronics,1849.13,0,1849.13,3.4,124,In Stock,DealsHub,2025-01-09,https://example-shop.com/product/WSP0071
WSP0072,Ultra Compact Mixer,Sports,584.94,20,467.95,4.2,43,Out of Stock,ShopPlus,2025-03-10,https://example-shop.com/product/WSP0072
WSP0073,Classic Deluxe Headphones,Sports,441.47,0,441.47,3.9,35,Out of Stock,ShopPlus,2025-02-01,https://example-shop.com/product/WSP0073
WSP0074,Pro Bluetooth Watch,Home,1140.99,0,1140.99,3.3,120,Limited Stock,TopSeller,2025-01-25,https://example-shop.com/product/WSP0074
WSP0075,Pro Compact Backpack,Home,561.44,30,393.01,3.8,112,In Stock,DealsHub,2024-12-12,https://example-shop.com/product/WSP0075
WSP0076,Pro Deluxe Lamp,Fashion,500.26,5,475.25,3.7,42,Out of Stock,OfficialStore,2025-02-04,https://example-shop.com/product/WSP0076
WSP0077,Ultra Bluetooth Charger,Sports,573.44,0,573.44,4.3,28,In Stock,OfficialStore,2025-02-09,https://example-shop.com/product/WSP0077
WSP0078,Smart Wireless Headphones,Toys,883.79,5,839.6,3.2,52,Out of Stock,ShopPlus,2025-06-20,https://example-shop.com/product/WSP0078
WSP0079,Classic Compact Speaker,Electronics,1424.7,5,1353.46,4.7,127,Out of Stock,ShopPlus,2025-05-02,https://example-shop.com/product/WSP0079
WSP0080,Premium Bluetooth Charger,Sports,616.14,20,492.91,3.2,43,In Stock,ShopPlus,2025-07-22,https://example-shop.com/product/WSP0080
WSP0081,Ultra Wireless Speaker,Toys,1018.31,0,1018.31,2.5,47,Out of Stock,QuickMart,2025-08-09,https://example-shop.com/product/WSP0081
WSP0082,Smart Deluxe Backpack,Fashion,968.71,10,871.84,4.6,49,In Stock,DealsHub,2025-02-12,https://example-shop.com/product/WSP0082
WSP0083,Pro Wireless Charger,Home,1454.03,25,1090.52,4.8,117,Out of Stock,ShopPlus,2025-06-23,https://example-shop.com/product/WSP0083
WSP0084,Classic Wireless Backpack,Toys,661.93,15,562.64,4.1,34,Out of Stock,ShopPlus,2025-07-25,https://example-shop.com/product/WSP0084
WSP0085,Classic Bluetooth Mixer,Fashion,827.14,0,827.14,2.6,38,Out of Stock,OfficialStore,2025-04-17,https://example-shop.com/product/WSP0085
WSP0086,Pro Bluetooth Lamp,Home,822.35,5,781.23,3.8,119,Limited Stock,ShopPlus,2024-11-22,https://example-shop.com/product/WSP0086
WSP0087,Eco Compact Lamp,Sports,793.36,15,674.36,3.7,44,Out of Stock,TopSeller,2025-02-21,https://example-shop.com/product/WSP0087
WSP0088,Smart Compact Lamp,Fashion,445.07,0,445.07,4.3,46,Out of Stock,DealsHub,2025-04-13,https://example-shop.com/product/WSP0088
WSP0089,Eco Compact Speaker,Home,533.12,20,426.5,3.6,124,In Stock,DealsHub,2025-06-25,https://example-shop.com/product/WSP0089
WSP0090,Premium Bluetooth Lamp,Automotive,182.03,20,145.62,3.5,48,Out of Stock,OfficialStore,2024-12-01,https://example-shop.com/product/WSP0090
WSP0091,Ultra Portable Headphones,Electronics,1228.31,5,1166.89,2.3,110,Out of Stock,OfficialStore,2025-03-23,https://example-shop.com/product/WSP0091
WSP0092,Smart Portable Speaker,Toys,6.94,5,6.59,2.1,41,In Stock,DealsHub,2025-04-03,https://example-shop.com/product/WSP0092
WSP0093,Smart Deluxe Mixer,Beauty,709.74,0,709.74,4.6,44,In Stock,ShopPlus,2024-12-07,https://example-shop.com/product/WSP0093
WSP0094,Smart Portable Watch,Electronics,942.91,30,660.04,4.0,119,Out of Stock,ShopPlus,2024-08-30,https://example-shop.com/product/WSP0094
WSP0095,Ultra Portable Backpack,Home,700.55,10,630.5,4.4,145,Limited Stock,QuickMart,2025-07-02,https://example-shop.com/product/WSP0095
WSP0096,Ultra Compact Watch,Sports,1081.38,25,811.04,5.0,32,Out of Stock,OfficialStore,2024-09-30,https://example-shop.com/product/WSP0096
WSP0097,Premium Bluetooth Mixer,Sports,898.43,0,898.43,3.3,39,Limited Stock,TopSeller,2025-06-21,https://example-shop.com/product/WSP0097
WSP0098,Ultra Bluetooth Backpack,Fashion,573.77,30,401.64,3.5,38,Out of Stock,OfficialStore,2025-04-21,https://example-shop.com/product/WSP0098
WSP0099,Ultra Wireless Charger,Beauty,543.33,15,461.83,4.8,40,Out of Stock,ShopPlus,2024-12-18,https://example-shop.com/product/WSP0099
WSP0100,Premium Bluetooth Mixer,Electronics,1760.92,15,1496.78,3.0,108,In Stock,DealsHub,2025-05-03,https://example-shop.com/product/WSP0100
WSP0101,Smart Wireless Charger,Beauty,1129.11,20,903.29,3.2,46,Out of Stock,DealsHub,2025-04-27,https://example-shop.com/product/WSP0101
WSP0102,Pro Deluxe Speaker,Sports,1144.57,15,972.88,4.0,29,Out of Stock,OfficialStore,2024-11-07,https://example-shop.com/product/WSP0102
WSP0103,Ultra Bluetooth Mixer,Home,1388.41,10,1249.57,3.6,126,In Stock,ShopPlus,2025-07-28,https://example-shop.com/product/WSP0103
WSP0104,Ultra Wireless Lamp,Toys,481.55,30,337.08,3.2,38,Out of Stock,DealsHub,2024-12-14,https://example-shop.com/product/WSP0104
WSP0105,Premium Bluetooth Lamp,Home,766.91,30,536.84,4.1,115,In Stock,DealsHub,2025-03-28,https://example-shop.com/product/WSP0105
WSP0106,Pro Bluetooth Speaker,Fashion,1180.52,0,1180.52,4.1,32,In Stock,QuickMart,2025-01-18,https://example-shop.com/product/WSP0106
WSP0107,Smart Deluxe Lamp,Electronics,1704.06,20,1363.25,4.8,114,Out of Stock,TopSeller,2024-09-05,https://example-shop.com/product/WSP0107
WSP0108,Classic Wireless Speaker,Fashion,1066.51,10,959.86,4.1,38,Out of Stock,QuickMart,2025-05-21,https://example-shop.com/product/WSP0108
WSP0109,Smart Deluxe Watch,Home,1362.77,20,1090.22,3.7,119,Out of Stock,TopSeller,2024-08-22,https://example-shop.com/product/WSP0109
WSP0110,Smart Compact Watch,Beauty,556.66,20,445.33,4.2,26,In Stock,ShopPlus,2025-05-04,https://example-shop.com/product/WSP0110
WSP0111,Pro Compact Backpack,Electronics,2455.35,10,2209.82,4.7,125,In Stock,QuickMart,2025-08-06,https://example-shop.com/product/WSP0111
WSP0112,Ultra Bluetooth Watch,Home,1089.13,0,1089.13,4.1,125,Out of Stock,DealsHub,2025-04-01,https://example-shop.com/product/WSP0112
WSP0113,Pro Wireless Watch,Toys,810.48,25,607.86,3.6,39,In Stock,DealsHub,2024-09-20,https://example-shop.com/product/WSP0113
WSP0114,Premium Wireless Headphones,Toys,884.24,5,840.03,3.5,40,Limited Stock,DealsHub,2024-08-22,https://example-shop.com/product/WSP0114
WSP0115,Classic Compact Watch,Toys,324.41,10,291.97,3.8,43,In Stock,TopSeller,2025-05-08,https://example-shop.com/product/WSP0115
WSP0116,Eco Wireless Charger,Sports,916.38,0,916.38,4.4,40,Out of Stock,QuickMart,2025-03-09,https://example-shop.com/product/WSP0116
WSP0117,Premium Deluxe Mixer,Toys,253.99,15,215.89,4.2,46,Out of Stock,DealsHub,2025-02-14,https://example-shop.com/product/WSP0117
WSP0118,Eco Deluxe Backpack,Fashion,800.65,0,800.65,4.0,39,Out of Stock,TopSeller,2024-12-22,https://example-shop.com/product/WSP0118
WSP0119,Smart Bluetooth Backpack,Beauty,855.46,5,812.69,3.1,41,Limited Stock,ShopPlus,2025-01-02,https://example-shop.com/product/WSP0119
WSP0120,Smart Deluxe Mixer,Beauty,1241.57,25,931.18,3.6,48,Out of Stock,ShopPlus,2025-06-24,https://example-shop.com/product/WSP0120
WSP0121,Premium Wireless Mixer,Electronics,1405.63,20,1124.5,3.8,135,In Stock,DealsHub,2025-06-21,https://example-shop.com/product/WSP0121
WSP0122,Pro Compact Backpack,Beauty,586.1,25,439.58,4.0,42,In Stock,DealsHub,2024-11-29,https://example-shop.com/product/WSP0122
WSP0123,Premium Portable Lamp,Toys,533.83,5,507.14,4.2,43,Out of Stock,TopSeller,2024-12-24,https://example-shop.com/product/WSP0123
WSP0124,Ultra Wireless Headphones,Toys,1068.78,0,1068.78,4.0,42,Out of Stock,QuickMart,2024-12-19,https://example-shop.com/product/WSP0124
WSP0125,Pro Deluxe Speaker,Beauty,326.78,30,228.75,3.6,44,Out of Stock,TopSeller,2024-11-27,https://example-shop.com/product/WSP0125
WSP0126,Smart Portable Charger,Fashion,806.07,25,604.55,3.2,40,Out of Stock,TopSeller,2025-08-11,https://example-shop.com/product/WSP0126
WSP0127,Premium Wireless Speaker,Beauty,128.13,30,89.69,4.3,47,In Stock,QuickMart,2024-11-21,https://example-shop.com/product/WSP0127
WSP0128,Pro Compact Charger,Automotive,361.89,5,343.8,1.9,47,Out of Stock,ShopPlus,2025-01-05,https://example-shop.com/product/WSP0128
WSP0129,Eco Deluxe Headphones,Home,123.73,25,92.8,3.4,120,Limited Stock,DealsHub,2025-07-18,https://example-shop.com/product/WSP0129
WSP0130,Eco Deluxe Headphones,Automotive,1092.38,15,928.52,3.4,40,Limited Stock,TopSeller,2025-01-19,https://example-shop.com/product/WSP0130
WSP0131,Eco Bluetooth Watch,Fashion,693.76,0,693.76,3.6,54,In Stock,TopSeller,2024-11-28,https://example-shop.com/product/WSP0131
WSP0132,Pro Compact Lamp,Electronics,1439.95,30,1007.96,3.2,114,Out of Stock,QuickMart,2024-11-03,https://example-shop.com/product/WSP0132
WSP0133,Smart Bluetooth Speaker,Home,994.47,0,994.47,2.8,122,In Stock,DealsHub,2025-08-08,https://example-shop.com/product/WSP0133
WSP0134,Eco Bluetooth Speaker,Sports,1002.81,25,752.11,3.8,38,Limited Stock,ShopPlus,2025-07-04,https://example-shop.com/product/WSP0134
WSP0135,Ultra Wireless Mixer,Toys,694.9,5,660.15,2.8,45,Limited Stock,DealsHub,2024-09-23,https://example-shop.com/product/WSP0135
WSP0136,Smart Bluetooth Headphones,Sports,1370.92,5,1302.37,3.5,37,Limited Stock,QuickMart,2025-05-06,https://example-shop.com/product/WSP0136
WSP0137,Classic Deluxe Lamp,Toys,1063.78,25,797.84,3.3,34,Out of Stock,OfficialStore,2025-03-26,https://example-shop.com/product/WSP0137
WSP0138,Classic Wireless Mixer,Electronics,2028.17,30,1419.72,3.5,114,Limited Stock,OfficialStore,2025-06-18,https://example-shop.com/product/WSP0138
WSP0139,Eco Wireless Speaker,Beauty,736.68,10,663.01,3.7,40,In Stock,QuickMart,2025-05-13,https://example-shop.com/product/WSP0139
WSP0140,Premium Deluxe Lamp,Electronics,1474.94,30,1032.46,4.1,139,Out of Stock,TopSeller,2025-01-25,https://example-shop.com/product/WSP0140
WSP0141,Ultra Wireless Watch,Electronics,1869.4,15,1588.99,3.4,112,In Stock,OfficialStore,2025-04-28,https://example-shop.com/product/WSP0141
WSP0142,Ultra Deluxe Charger,Sports,1035.14,15,879.87,4.2,40,Limited Stock,TopSeller,2025-05-13,https://example-shop.com/product/WSP0142
WSP0143,Premium Bluetooth Mixer,Fashion,612.6,25,459.45,3.3,38,Limited Stock,ShopPlus,2025-07-28,https://example-shop.com/product/WSP0143
WSP0144,Smart Portable Watch,Electronics,1177.45,20,941.96,4.0,117,Limited Stock,ShopPlus,2025-08-11,https://example-shop.com/product/WSP0144
WSP0145,Eco Portable Speaker,Home,1266.55,20,1013.24,4.3,119,In Stock,OfficialStore,2024-11-12,https://example-shop.com/product/WSP0145
WSP0146,Eco Compact Lamp,Electronics,1275.26,5,1211.5,4.3,120,In Stock,QuickMart,2025-06-16,https://example-shop.com/product/WSP0146
WSP0147,Premium Portable Headphones,Home,1012.41,0,1012.41,4.1,122,In Stock,TopSeller,2025-03-29,https://example-shop.com/product/WSP0147
WSP0148,Ultra Bluetooth Speaker,Fashion,1148.3,25,861.22,4.4,32,Out of Stock,ShopPlus,2024-09-14,https://example-shop.com/product/WSP0148
WSP0149,Ultra Deluxe Watch,Fashion,609.68,15,518.23,3.3,35,Limited Stock,TopSeller,2025-04-07,https://example-shop.com/product/WSP0149
WSP0150,Classic Portable Watch,Home,769.65,20,615.72,3.0,117,In Stock,ShopPlus,2025-03-07,https://example-shop.com/product/WSP0150
WSP0151,Classic Deluxe Watch,Home,858.77,15,729.95,3.7,120,Out of Stock,ShopPlus,2025-03-27,https://example-shop.com/product/WSP0151
WSP0152,Smart Compact Speaker,Automotive,302.18,15,256.85,3.9,34,Limited Stock,DealsHub,2025-05-03,https://example-shop.com/product/WSP0152
WSP0153,Smart Portable Mixer,Toys,263.97,15,224.37,4.1,46,In Stock,TopSeller,2025-07-27,https://example-shop.com/product/WSP0153
WSP0154,Smart Compact Watch,Toys,1197.51,20,958.01,4.6,44,Out of Stock,ShopPlus,2025-02-14,https://example-shop.com/product/WSP0154
WSP0155,Premium Wireless Headphones,Beauty,1052.98,15,895.03,3.5,34,Out of Stock,TopSeller,2025-02-11,https://example-shop.com/product/WSP0155
WSP0156,Premium Bluetooth Mixer,Home,491.29,10,442.16,5.0,139,Out of Stock,TopSeller,2025-03-06,https://example-shop.com/product/WSP0156
WSP0157,Premium Portable Mixer,Electronics,1171.17,25,878.38,3.3,117,In Stock,QuickMart,2025-04-26,https://example-shop.com/product/WSP0157
WSP0158,Eco Portable Headphones,Beauty,374.31,0,374.31,3.8,38,Limited Stock,DealsHub,2025-03-21,https://example-shop.com/product/WSP0158
WSP0159,Classic Compact Headphones,Toys,1068.36,20,854.69,4.2,32,In Stock,QuickMart,2024-10-06,https://example-shop.com/product/WSP0159
WSP0160,Pro Wireless Backpack,Automotive,389.04,15,330.68,3.6,46,Limited Stock,DealsHub,2025-03-04,https://example-shop.com/product/WSP0160
WSP0161,Smart Bluetooth Headphones,Automotive,601.39,30,420.97,3.1,31,In Stock,DealsHub,2024-12-01,https://example-shop.com/product/WSP0161
WSP0162,Smart Deluxe Speaker,Electronics,1292.7,15,1098.8,4.8,122,In Stock,TopSeller,2024-10-10,https://example-shop.com/product/WSP0162
WSP0163,Eco Deluxe Headphones,Fashion,291.23,0,291.23,3.9,38,Limited Stock,QuickMart,2025-08-04,https://example-shop.com/product/WSP0163
WSP0164,Eco Wireless Watch,Sports,1340.45,5,1273.43,4.6,51,Out of Stock,DealsHub,2025-07-26,https://example-shop.com/product/WSP0164
WSP0165,Eco Wireless Charger,Toys,1465.49,0,1465.49,4.0,45,Limited Stock,OfficialStore,2024-12-16,https://example-shop.com/product/WSP0165
WSP0166,Ultra Portable Charger,Electronics,1678.96,30,1175.27,3.7,127,Out of Stock,QuickMart,2025-01-21,https://example-shop.com/product/WSP0166
WSP0167,Eco Portable Watch,Electronics,983.78,0,983.78,3.9,115,Limited Stock,DealsHub,2025-03-14,https://example-shop.com/product/WSP0167
WSP0168,Ultra Deluxe Lamp,Sports,1238.62,0,1238.62,2.5,42,Limited Stock,QuickMart,2024-10-01,https://example-shop.com/product/WSP0168
WSP0169,Premium Bluetooth Speaker,Electronics,1316.09,5,1250.29,4.3,105,In Stock,OfficialStore,2025-03-01,https://example-shop.com/product/WSP0169
WSP0170,Pro Deluxe Headphones,Automotive,801.26,0,801.26,4.5,36,In Stock,TopSeller,2025-02-06,https://example-shop.com/product/WSP0170
WSP0171,Eco Wireless Mixer,Automotive,1034.9,10,931.41,3.7,28,In Stock,OfficialStore,2025-06-18,https://example-shop.com/product/WSP0171
WSP0172,Smart Wireless Charger,Electronics,2199.25,25,1649.44,4.6,112,Out of Stock,ShopPlus,2025-01-31,https://example-shop.com/product/WSP0172
WSP0173,Pro Bluetooth Headphones,Fashion,645.73,15,548.87,4.1,47,Limited Stock,OfficialStore,2025-06-10,https://example-shop.com/product/WSP0173
WSP0174,Classic Compact Lamp,Fashion,1115.97,25,836.98,4.4,34,Out of Stock,DealsHub,2024-09-05,https://example-shop.com/product/WSP0174
WSP0175,Eco Compact Headphones,Electronics,1421.72,15,1208.46,4.6,106,Limited Stock,DealsHub,2025-03-23,https://example-shop.com/product/WSP0175
WSP0176,Pro Deluxe Headphones,Fashion,750.66,10,675.59,4.0,37,In Stock,QuickMart,2024-08-14,https://example-shop.com/product/WSP0176
WSP0177,Smart Compact Lamp,Electronics,1124.21,25,843.16,4.7,130,In Stock,TopSeller,2024-08-23,https://example-shop.com/product/WSP0177
WSP0178,Premium Deluxe Speaker,Electronics,2111.5,0,2111.5,4.0,116,In Stock,TopSeller,2024-12-17,https://example-shop.com/product/WSP0178
WSP0179,Ultra Bluetooth Watch,Automotive,211.19,10,190.07,3.0,40,In Stock,TopSeller,2024-10-15,https://example-shop.com/product/WSP0179
WSP0180,Eco Compact Lamp,Automotive,955.84,30,669.09,2.5,43,Out of Stock,QuickMart,2024-08-16,https://example-shop.com/product/WSP0180
WSP0181,Pro Bluetooth Lamp,Beauty,914.71,0,914.71,3.7,44,Limited Stock,TopSeller,2025-04-23,https://example-shop.com/product/WSP0181
WSP0182,Ultra Deluxe Lamp,Fashion,711.58,20,569.26,3.8,42,Limited Stock,TopSeller,2025-01-21,https://example-shop.com/product/WSP0182
WSP0183,Premium Portable Watch,Home,39.74,25,29.8,4.4,101,In Stock,QuickMart,2024-10-22,https://example-shop.com/product/WSP0183
